Name                          Total    Bin.1,    Bin.2,
apFAB124--apFAB856             6791      4056      2735
apFAB58--apFAB865              6790      4078      2712
BBa_J23108--BBa_J61113         6790      4073      2717
BBa_J23116--BBa_J61100         6788      4139      2649
apFAB306--BBa_J61112           6783      4029      2754
BBa_J23115--BBa_J61110         6782      4073      2709
apFAB114--apFAB912             6780      4047      2733
apFAB300--BBa_J61109           6780      4005      2775
apFAB300--apFAB871             6779      3989      2790
BBa_J23109--apFAB833           6776      4053      2723
apFAB300--BBa_J61127           6776      3980      2796
apFAB312--BBa_J61137           6770      4140      2630
apFAB302--BBa_J61109           6769      4074      2695
BBa_J23116--BBa_J61104         6768      4004      2764
apFAB277--apFAB864             6768      4084      2684
apFAB58--apFAB821              6768      4020      2748
apFAB124--apFAB868             6768      3996      2772
apFAB311--BBa_J61113           6767      4085      2682
apFAB321--apFAB901             6767      3972      2795
apFAB104--apFAB871             6766      4160      2606
BBa_J23118--BBa_J61139         6758      4064      2694
apFAB64--BBa_J61113            6757      4037      2720
J23101--BBa_J61109             6755      4051      2704
BBa_J23108--Alon_RBS           6751      4087      2664
apFAB109--apFAB821             6751      4080      2671
apFAB277--apFAB872             6750      4008      2742
BBa_J23105--apFAB901           6749      4019      2730
BBa_J23103--BBa_J61119         6747      4081      2666
apFAB338--apFAB872             6747      3963      2784
apFAB322--apFAB895             6746      4059      2687
BBa_J23108--apFAB851           6744      4063      2681
BBa_J23103--BBa_J61129         6744      4068      2676
apFAB114--BBa_J61104           6743      3997      2746
apFAB124--apFAB912             6741      3921      2820
BBa_J23117--BBa_J61125         6738      4126      2612
BBa_J23103--apFAB864           6736      4065      2671
apFAB109--BBa_J61129           6736      4033      2703
apFAB342--apFAB910             6734      3996      2738
BBa_J23108--apFAB820           6734      4091      2643
apFAB50--DeadRBS               6734      3943      2791
apFAB78--BBa_J61120            6733      4069      2664
apFAB317--BBa_J61134           6730      4039      2691
apFAB259--BBa_J61120           6721      4086      2635
apFAB114--apFAB884             6717      4006      2711
apFAB339--apFAB843             6715      4022      2693
apFAB346--apFAB954             6714      4024      2690
apFAB300--BBa_J61128           6713      4039      2674
BBa_J23103--Alon_RBS           6712      4025      2687
BBa_J23113--apFAB860           6711      4037      2674
apFAB259--BBa_J61137           6710      4063      2647
apFAB277--apFAB903             6709      4017      2692
BBa_J23108--BBa_J61132         6704      4003      2701
BBa_J23103--apFAB927           6699      4016      2683
apFAB115--BBa_J61134           6698      3963      2735
apFAB125--BBa_J61132           6698      4008      2690
BBa_J23103--apFAB843           6695      3975      2720
BBa_J23113--BBa_J61128         6694      4083      2611
apFAB124--apFAB895             6691      4010      2681
apFAB277--BBa_J61127           6687      4019      2668
apFAB306--BBa_J61124           6686      4123      2563
apFAB79--DeadRBS               6686      3850      2836
BBa_J23116--apFAB954           6686      4074      2612
apFAB42--DeadRBS               6685      3979      2706
BBa_J23115--BBa_J61139         6684      3884      2800
apFAB124--B0030_RBS            6684      3927      2757
apFAB124--apFAB848             6681      3986      2695
apFAB302--BBa_J61124           6677      3963      2714
BBa_J23113--BBa_J61111         6675      4005      2670
BBa_J23104--apFAB872           6674      3967      2707
apFAB259--apFAB872             6672      4110      2562
apFAB322--apFAB868             6672      4002      2670
BBa_J23108--apFAB918           6669      3931      2738
BBa_J23109--apFAB892           6664      4074      2590
apFAB75--apFAB843              6663      3889      2774
BBa_J23117--apFAB864           6662      4050      2612
BBa_J23116--apFAB856           6662      4075      2587
apFAB64--BBa_J61108            6660      3851      2809
apFAB109--apFAB903             6657      3982      2675
apFAB312--apFAB917             6653      4061      2592
apFAB109--Anderson_RBS         6651      3911      2740
apFAB322--apFAB904             6651      4013      2638
apFAB76--apFAB901              6650      3985      2665
apFAB277--BBa_J61133           6647      4167      2480
apFAB317--apFAB890             6644      4025      2619
apFAB125--apFAB903             6644      3923      2721
apFAB346--BBa_J61130           6644      3993      2651
apFAB259--Plotkin_RBS          6644      4080      2564
BBa_J23117--apFAB914           6643      4028      2615
BBa_J23108--apFAB892           6641      3926      2715
